0,feel lucky found used phone us used hard all line someone upgraded sold one my son liked old finally fell apart years want upgrade thank seller really appreciate honesty re said used phone i recommend seller highly would again
1,nice phone nice grade pantach revue very clean set easy set up never android fantastic say least perfect size surfing social media samsung
2,very pleased
3,works goes slow sometimes love
4,great replace lost thing volume button work still go settings adjust other that job eligible upgrade again thaanks
8,originally using samsung s galaxy sprint wanted return back samsung epic g sprint really missed keyboard really liked smaller compact size phone still needed basic functions smart i e checking e mail getting directions text messaging because powerful newer cell phones there aware applications install slower runs likely freeze time time but camera works great video well even web browsing decent gives need also notice battery life lasts little bit longer charging much quicker galaxy s
11,product came two days ordering it there little blemish side but cares long fullly functional i recommend product anyone reading this
12,these guys best little situation item quickly fixed issue pleased definitely buying another phon need one
14,ordered replacement model contract expires get new one seller confirmation said delivery could take days seller sent within hours receiving order next day phone looks better described able transfer data old new problems highly recommend seller
16,able get previously owned with keyboard touch screen it s best love it still clean device service provider well worth it
17,brought replacement daughter hard cell phones must say purchase work wonderful thank
18,love everything need works great purchased four phones seller shipped amazon s warehouse my problem come micro sd card use camera got card no problems getting activated sprint
20,battery old used barely holds charge otherwise issues itself
21,pros beautiful screen capable running chrome take pictures the keyboard comfy fits pocket fit hands plays really videos gamescons no bluetooth came late run fast really quick doesnt play p videos but would still recommend talk text lot watch lot movies
23,phone little slow old temporary right now thank deal
24,phone s speaker little low overall happy would purchase another cell chubbietech satisfied
25,condition my daughter happy andriod user
27,phone works great no problems
30,described fast ship
31,perfect every way
33,just got it s easy use
34,gotten old time replacement it lasted
35,came condition great price brings back memories owning phone
36,met expectations can t complain all great price
37,phone working on planning use whatsapp anyway oh problem can t change idiom
38,excellent product perfect condition
39,excellent
40,excelente
41,excelente
45,love it
46,very practical user friendly satisfied it
47,sharp classy
48,
49,gooddd
50,shipped quickly exactly expected
51,works wonderful price
52,bought alternative smart data plan use go phone pay as you go plan functions great radio music players sound quality smart type features easier faster use smart used there software glitches documented nokia support site proved easily fixed even though many nokia based features longer supported microsoft still use features needed accessing web directly via wifi connection data want pay privilege launching site application there although new nokia browser pretty spartan appearance fast runs stability big guy lands large even size find full qwerty keyboard pretty easy use programmable hot keys on screen shortcuts keeps launching items require data connections accident back lighting thorough even raised buttons tactile positive click response quirks there airplane mode far tell flight profile seem able set broadcasting receiving functions turned off main navigation button mouse little small always respond expected might though all would recommend vendor highly want features smart need gps big data bill every month bunch things need want keep life running smoothly
53,muy buen producto
55,excellent
56,a friend mentioned worth said thanks lot friend
57,used unlocked gsm nokia asha philippines recently jan feb excellent problem functionality bought p sim card airport presto worked passed brother instant came back us he visiting philippines soon easy use having used smart phones w touch screen surprised worked w easily read instructions operate it i ll buy another definitely upgraded version nokia unlocked gsm
58,excelente
59,excellent youngest son walk reasonable options quality first
60,excelente
61,solid
62,good choice
63,perfect practical easy handle resolution well packed
64,excellent product all right i recommend
65,excelente
66,excelente
67,nokia brand used telephone price excellent team gift daughter liked it easy use affordable price recommend it
68,first off let say i ve nokia user since first cell age ten years ago of course year ventured samsung land died back nokia went but i ve always enjoyed nokia phones second i ve looking qwerty internet video mp playing capabilities asha fits it strong build dropped numerous times still intact keyboard fan touchscreens which get asha as far sound think depends headphones earbuds produced loudness decibels made listening experience mediocre bought buds db loudness sound much better nokia xpress bit sucky downloaded opera browser works slightly better internet experience pretty easy get video games sns even pc reason use phone my wish built antenna could listen radio without rds earbuds other that really want move blackberrys want pay much nokia asha start with edit october found gino cm section telescoping stainless steel am fm radio antenna mm plug use playing radio speaker so i m really enjoying i m sitting outside friends desk
69,nokia asha unlocked gsm phone mp camera video qwertydependabletraditional nokia menu snot complicated smart phones durableeasy use straighttalk internet wifi bluetooth
