5,already problems know stated used dang state charge wish would read comments would purchased item cracked side damaged goods is if trying charge another way work requesting money back and will get my money back signed an unhappy customer
6,charging port loose got soldered in then needed new battery well later not including cost purchase usable sold state in
7,phone looks stay charged buy new battery still stay charged long so trashed it money lost never buy person
9,it s battery life great it s responsive touch issue sometimes screen goes black press top button several times get screen re illuminate
10,my fiance previously caused many problems so course decided browse amazon replacement til contract up far good
13,i m really disappointed service went week ago instead handling issue first surfaced i ve told that now i m stick i m dollars service i m using still received mailing label return item first purchase amazon i m rushing use smartphones business anytime soon thought getting deal seems i m lucked out
15,had loved working got one thing sd card slot open try access file managment even show computer card fine able open another trying trouble shoot now
19,unfortunately sprint could activate due blocking issue phone matter handled well quickly very satisfied service
22,purchased december christmas present son called sprint activate find esn clear told come store upon research clear reached company inform esn clean told send back would send another asked representative provide esn could call make sure clear told available guaranteed would clear known something wrong then received second turned clear esn representative sprint informed seller phones aware esn clear so send another back asked refund shipping since sent two phones clear esn received refund yet see refund shipping suggest buy anything them
26,reasons star rating opinion better iphone s tends randomly crash randomly power storage space battery usage camera
28,condition work
29,just good screen resolution storage low need sd card anything may clear esn expect use things freedompop
32,one phones bad charger port want send back
42,bought mom loves
43,came arabian keyboard
44,love phone problem problem only once mic goes that s it no mic but take beating
54,trapped want simple get old school flip if want something also work get blackberry somthing new even middle two another dimension nothing frustration
71,hola compramos dos tel fonos vienieron totalente diferentes uno vino con la bater a da ada se descarga de inmediato el otro tel fono vino sin la tarjeta de memoria los teclados cargadores son muy distintos mi t a yo nos sentimos enga adas defraudadas
